Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
AIBS_1005228332,mouse,NCBI:txid10090,510465,Ai193(TICL-EGFP-ICF-tdT)-hyg/wt,cell population characterization,enhancer virus labeling,grey,brains,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/data/65/e5/65e5fc45d5373354/0539049839/,,2020Q2,1008572843,,
AIBS_1005229264,mouse,NCBI:txid10090,510468,Ai193(TICL-EGFP-ICF-tdT)-hyg/wt,cell population characterization,enhancer virus labeling,grey,brains,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/data/65/e5/65e5fc45d5373354/0539046670/,,2020Q2,1006987408,,
AIBS_720680405,mouse,NCBI:txid10090,400225,Ai65F/Ai65F,cell population characterization,enhancer virus labeling,grey,brains,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/data/65/e5/65e5fc45d5373354/0500369363/,,2020Q2,724643904,,
AIBS_737287459,mouse,NCBI:txid10090,405785,Ai14(RCL-tdT)/Ai14(RCL-tdT),cell population characterization,enhancer virus labeling,grey,brains,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/data/65/e5/65e5fc45d5373354/0539060532/,,2020Q2,740854173,,
AIBS_790243021,mouse,NCBI:txid10090,422328,Ai65F/Ai65F,cell population characterization,enhancer virus labeling,grey,brains,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/data/65/e5/65e5fc45d5373354/0539057238/,,2020Q2,795627872,,
AIBS_790243077,mouse,NCBI:txid10090,422568,Ai65F/Ai65F,cell population characterization,enhancer virus labeling,grey,brains,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/data/65/e5/65e5fc45d5373354/0539057315/,,2020Q2,794197543,,
AIBS_790243131,mouse,NCBI:txid10090,422571,Ai65F/Ai65F,cell population characterization,enhancer virus labeling,grey,brains,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/data/65/e5/65e5fc45d5373354/0539059262/,,2020Q2,794939143,,
AIBS_823260920,mouse,NCBI:txid10090,424685,Ai65F/Ai65F;Ai140(TIT2L-GFP-ICL-tTA2)/Ai140(TIT2L-GFP-ICL-tTA2),cell population characterization,enhancer virus labeling,grey,brains,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/data/65/e5/65e5fc45d5373354/0539056783/,,2020Q2,823818122,,
AIBS_823586843,mouse,NCBI:txid10090,451830,Ai65F/Ai65F,cell population characterization,enhancer virus labeling,grey,brains,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/data/65/e5/65e5fc45d5373354/0539062079/,,2020Q2,833990038,,
AIBS_969193237,mouse,NCBI:txid10090,489419,Ai193(TICL-EGFP-ICF-tdT)-hyg/wt,cell population characterization,enhancer virus labeling,grey,brains,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_stpt,BIL,/bil/data/65/e5/65e5fc45d5373354/0539046848/,,2020Q2,983646656,,
