Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
CALTECH_20180410,mouse,NCBI:txid10090,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,cells,6306,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,C57BL/6N (WT),2019Q3,,,VMH
CALTECH_20180420,mouse,NCBI:txid10090,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,cells,5174,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,C57BL/6N (WT),2019Q3,,,VMH
CALTECH_20180422,mouse,NCBI:txid10090,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,cells,7500,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,C57BL/6N (WT),2019Q3,,,VMH
CALTECH_20180428,mouse,NCBI:txid10090,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,cells,9994,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,C57BL/6N (WT),2019Q3,,,VMH
CALTECH_20180429,mouse,NCBI:txid10090,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,cells,7910,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,C57BL/6N (WT),2019Q3,,,VMH
CALTECH_20180519,mouse,NCBI:txid10090,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,cells,8342,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,C57BL/6N (WT),2019Q3,,,VMH
CALTECH_20180520,mouse,NCBI:txid10090,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,cells,7318,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,C57BL/6N (WT),2019Q3,,,VMH
CALTECH_20180527,mouse,NCBI:txid10090,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,cells,6221,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,C57BL/6N (WT),2019Q3,,,VMH
CALTECH_20180630,mouse,NCBI:txid10090,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,cells,9681,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,C57BL/6N (WT),2019Q3,,,VMH
CALTECH_20180701,mouse,NCBI:txid10090,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,cells,7089,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,C57BL/6N (WT),2019Q3,,,VMH
