Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV),Prior Sample ID,Age,Ageunit,Sex
1059283672,Mouse,NCBI:txid10090,210254,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_210254-15257,,2020Q4,,,,,40,Days,Male
1059284105,Mouse,NCBI:txid10090,210254,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_210254-15257,,2020Q4,,,,,40,Days,Male
1059284259,Mouse,NCBI:txid10090,210254,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_210254-15257,,2020Q4,,,,,40,Days,Male
1059286050,Mouse,NCBI:txid10090,210254,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_210254-15257,,2020Q4,,,,,40,Days,Male
1059287087,Mouse,NCBI:txid10090,210254,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_210254-15257,,2020Q4,,,,,40,Days,Male
1059288122,Mouse,NCBI:txid10090,210254,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_210254-15257,,2020Q4,,,,,40,Days,Male
1059288915,Mouse,NCBI:txid10090,210254,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_210254-15257,,2020Q4,,,,,40,Days,Male
1059289798,Mouse,NCBI:txid10090,210254,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_210254-15257,,2020Q4,,,,,40,Days,Male
1059290436,Mouse,NCBI:txid10090,210254,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_210254-15257,,2020Q4,,,,,40,Days,Male
1059281826,Mouse,NCBI:txid10090,236174,Gnb4-IRES2-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)-hyg/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_236174-16124,,2020Q4,,,,,159,Days,Female
