Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV),Prior Sample ID
mouseID_210254_15257,mouse,NCBI:txid10090,210254,Pvalb-2A-CreERT2;Ai139,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_210254-15257,210254-15257,2019Q4,,,,AIBS_733341005
mouseID_236174_16124,mouse,NCBI:txid10090,236174,Gnb4-IRES2-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)-hyg/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_236174-16124,,2019Q1,,,,AIBS_603197236
mouseID_297974_17109,mouse,NCBI:txid10090,297974,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_297974-17109,,2019Q1,,,,AIBS_712844138
mouseID_314107_17300,mouse,NCBI:txid10090,314107,Plxnd1-CreER/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_314107-17300,,2019Q1,,,,AIBS_712844124
mouseID_321237_17302,mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_321237-17302,,2019Q1,,,,AIBS_732706821
mouseID_321244_17545,mouse,NCBI:txid10090,321244,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_321244-17545,,2019Q1,,,,AIBS_732707727
mouseID_325875_17543,mouse,NCBI:txid10090,325875,Tlx3-Cre_PL56/wt;Ai82(TITL-GFP)/Ai161(TIT2L-GFP-ICR-tTA2) ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_325875-17543,325875-17543,2019Q4,,,,AIBS_732702206
mouseID_326952_17304,mouse,NCBI:txid10090,326952,Tlx3-Cre_PL56/wt;Ai82(TITL-GFP)/Ai161(TIT2L-GFP-ICR-tTA2),cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_326952-17304,,2019Q1,,,,AIBS_732702664
mouseID_339951_17781,mouse,NCBI:txid10090,339951,Gnb4-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_339951-17781,,2019Q1,,,,AIBS_732664811
mouseID_339952_17782,mouse,NCBI:txid10090,339952,Gnb4-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_339952-17782,,2019Q1,,,,AIBS_732665241
