Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
AIBS_721173381,mouse,NCBI:txid10090,396477,Pvalb-T2A-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,L5 PT,cells,6,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Pvalb-T2A-CreERT2;Ai166_396477-18869,2019Q3,,,L5 PT
AIBS_732713136,mouse,NCBI:txid10090,373641,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH;STR,cells,39,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373641-18462,2019Q3,,,TH; STR
AIBS_732713168,mouse,NCBI:txid10090,383680,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH;STR,cells,38,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Tnnt1-IRES2-CreERT2;Ai82;Ai140_383680-18463,2019Q3,,,TH; STR
AIBS_732713933,mouse,NCBI:txid10090,381487,Vipr2-IRES2-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,TH;STR,cells,34,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Vipr2-IRES2-Cre-neo;Ai166_381487-18458,2019Q3,,,TH; STR
AIBS_732714203,mouse,NCBI:txid10090,381488,Vipr2-IRES2-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,TH;STR,cells,17,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Vipr2-IRES2-Cre-neo;Ai166_381488-18464,2019Q3,,,TH; STR
AIBS_732714302,mouse,NCBI:txid10090,383128,Vipr2-IRES2-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,TH;STR,cells,54,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,2019Q3,,,TH; STR
AIBS_730862678,mouse,NCBI:txid10090,374707,Cux2-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,L2/3/4 IT,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Cux2-CreERT2;Ai166-374707,2019Q3,,,L2/3/4 IT
AIBS_732664811,mouse,NCBI:txid10090,339951,Gnb4-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,CLA,cells,4,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,,2019Q1,,,CLA
AIBS_732665241,mouse,NCBI:txid10090,339952,Gnb4-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,CLA,cells,6,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,,2019Q1,,,CLA
AIBS_732706821,mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH;STR,cells,93,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,,2019Q1,,,TH; STR
AIBS_732707727,mouse,NCBI:txid10090,321244,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH;STR,cells,81,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,,2019Q1,,,TH; STR
AIBS_732707727,mouse,NCBI:txid10090,321244,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH;STR,cells,6,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Tnnt1-IRES2-CreERT2;Ai82;Ai140-321244,2019Q3,appears to be addition of more cells I 2019 Q3,,TH; STR
AIBS_732709249,mouse,NCBI:txid10090,373367,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH;STR,cells,18,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,,2019Q1,,,TH; STR
AIBS_732709249,mouse,NCBI:txid10090,373367,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH;STR,cells,67,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,2019Q3,,,TH; STR
AIBS_732710254,mouse,NCBI:txid10090,373368,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH;STR,cells,7,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,,2019Q1,,,TH; STR
AIBS_732710254,mouse,NCBI:txid10090,373368,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH;STR,cells,73,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373368-18455,2019Q3,,,TH; STR
AIBS_732713516,mouse,NCBI:txid10090,381484,Vipr2-IRES2-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,TH;STR,cells,61,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,,2019Q1,,,TH; STR
AIBS_732713516,mouse,NCBI:txid10090,381484,Vipr2-IRES2-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,TH;STR,cells,49,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost_cells,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Vipr2-IRES2-Cre-neo;Ai166_381484-18457,2019Q3,,,TH; STR
