Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
AIBS_732713136,mouse,NCBI:txid10090,373641,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH; STR,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373641-18462,2019Q3,,,TH; STR
AIBS_732713168,mouse,NCBI:txid10090,383680,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,TH; STR,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,Tnnt1-IRES2-CreERT2;Ai82;Ai140_383680-18463,2019Q3,,,TH; STR
AIBS_603197236,mouse,NCBI:txid10090,236174,Gnb4-IRES2-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)-hyg/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,,2019Q1,,,
AIBS_712844124,mouse,NCBI:txid10090,314107,Plxnd1-CreER/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,,2019Q1,,,
AIBS_712844138,mouse,NCBI:txid10090,297974,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,,2019Q1,,,
AIBS_715703791,mouse,NCBI:txid10090,390044,Chat-IRES-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,390044-18860,2019Q4,,,
AIBS_716798821,mouse,NCBI:txid10090,391751,Th-Cre_FI172/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,391751-18872,2019Q4,,,
AIBS_716807104,mouse,NCBI:txid10090,395869,Oxtr-T2A-Cre/wt;Pvalb-T2A-FlpO/wt;Ai188(TA2T2L-EGFP-ICF-tTA2)-hyg/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,395869-18865,2019Q4,,,
AIBS_716807268,mouse,NCBI:txid10090,395870,Oxtr-T2A-Cre/wt;Pvalb-T2A-FlpO/wt;Ai188(TA2T2L-EGFP-ICF-tTA2)-hyg/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,395870-18866,2019Q4,,,
AIBS_718601126,mouse,NCBI:txid10090,399845,Chat-IRES-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,399845-18862,2019Q4,,,
AIBS_721171606,mouse,NCBI:txid10090,394528,Pvalb-T2A-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,394528-18867,2019Q3,Pvalb-T2A-CreERT2;Ai166-394528 ,,
AIBS_721172456,mouse,NCBI:txid10090,396476,Pvalb-T2A-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,396476-18868,2019Q3,Pvalb-T2A-CreERT2;Ai166-396476 ,,
AIBS_730859101,mouse,NCBI:txid10090,367667,Chat-IRES-Cre-neo/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,367667-18052,2019Q4,,,
AIBS_730862660 	,mouse,NCBI:txid10090,374706,Cux2-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,374706-18461,2019Q4,,,
AIBS_730863973 ,mouse,NCBI:txid10090,383469,Etv1-CreERT2/wt;Pvalb-T2A-Dre/wt;Ai82(TITL-GFP)/Ai161(TIT2L-GFP-ICR-tTA2),cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,383469-18471,2019Q4,,,
AIBS_730864077,mouse,NCBI:txid10090,384994,Etv1-CreERT2/wt;Pvalb-T2A-Dre/wt;Ai82(TITL-GFP)/Ai161(TIT2L-GFP-ICR-tTA2) ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,384994-18472,2019Q4,,,
AIBS_730864891,mouse,NCBI:txid10090,358361,Fezf2-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,,2019Q1,,,
AIBS_730865518,mouse,NCBI:txid10090,375394,Fezf2-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,375394-18468,2019Q3,Fezf2-CreER;Ai166-375394,,
