Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
AIBS_653169155,mouse,NCBI:txid10090,360388,A930038C07Rik-Tg1-Cre/wt,connectivity,retrograde transsynaptic tracing,MOp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOp
AIBS_653169165,mouse,NCBI:txid10090,360389,A930038C07Rik-Tg1-Cre/wt,connectivity,retrograde transsynaptic tracing,MOp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOp
AIBS_653169175,mouse,NCBI:txid10090,361288,Grik4-Cre/wt,connectivity,retrograde transsynaptic tracing,PO,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,PO
AIBS_653169192,mouse,NCBI:txid10090,363612,Penk-IRES2-Cre-neo/wt,connectivity,retrograde transsynaptic tracing,CP,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,CP
AIBS_653169224,mouse,NCBI:txid10090,363611,Penk-IRES2-Cre-neo/wt,connectivity,retrograde transsynaptic tracing,CP,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,CP
AIBS_653169243,mouse,NCBI:txid10090,361483,Sepw1-Cre_NP39/wt,connectivity,retrograde transsynaptic tracing,MOp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOp
AIBS_653169272,mouse,NCBI:txid10090,361480,Sepw1-Cre_NP39/wt,connectivity,retrograde transsynaptic tracing,MOp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOp
AIBS_653195605,mouse,NCBI:txid10090,363928,Ntsr1-Cre_GN220/wt,connectivity,retrograde transsynaptic tracing,MOp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOp
AIBS_653195634,mouse,NCBI:txid10090,360963,Rbp4-Cre_KL100/wt,connectivity,retrograde transsynaptic tracing,MOs,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOs
AIBS_653195702,mouse,NCBI:txid10090,360967,Rbp4-Cre_KL100/wt,connectivity,retrograde transsynaptic tracing,SSp-ul,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,SSp-ul
AIBS_653195750,mouse,NCBI:txid10090,361766,Slc6a5-Cre_KF109/wt,connectivity,retrograde transsynaptic tracing,GRN,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,GRN
AIBS_653195785,mouse,NCBI:txid10090,361763,Slc6a5-Cre_KF109/wt,connectivity,retrograde transsynaptic tracing,GRN,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,GRN
AIBS_653196526,mouse,NCBI:txid10090,362386,Tlx3-Cre_PL56/wt,connectivity,retrograde transsynaptic tracing,MOp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOp
AIBS_654584345,mouse,NCBI:txid10090,358004,Cux2-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,MOp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOp
AIBS_654586653,mouse,NCBI:txid10090,358005,Cux2-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,MOp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOp
AIBS_654587288,mouse,NCBI:txid10090,358008,Cux2-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,MOs,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOs
AIBS_656565322,mouse,NCBI:txid10090,365305,Grik4-Cre/wt,connectivity,retrograde transsynaptic tracing,PO,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,PO
AIBS_656565368,mouse,NCBI:txid10090,366756,Sst-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,SCm,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,SCm
AIBS_656628787,mouse,NCBI:txid10090,367161,Slc17a6-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,SCm,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,SCm
AIBS_656628809,mouse,NCBI:txid10090,367164,Slc17a6-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,SCm,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,SCm
AIBS_656643859,mouse,NCBI:txid10090,366536,Cux2-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,SSp-ul,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,SSp-ul
AIBS_656644855,mouse,NCBI:txid10090,366537,Cux2-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,SSp-ul,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,SSp-ul
AIBS_656850195,mouse,NCBI:txid10090,368289,Cux2-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,SSs,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,SSs
AIBS_656850210,mouse,NCBI:txid10090,368290,Cux2-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,SSs,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,SSs
AIBS_657860174,mouse,NCBI:txid10090,368445,Rbp4-Cre_KL100/wt,connectivity,retrograde transsynaptic tracing,SSp-ul,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,SSp-ul
AIBS_657860192,mouse,NCBI:txid10090,368446,Rbp4-Cre_KL100/wt,connectivity,retrograde transsynaptic tracing,MOp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOp
AIBS_657861412,mouse,NCBI:txid10090,367347,Pvalb-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,SCm,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,SCm
AIBS_658334491,mouse,NCBI:txid10090,369840,Tac1-IRES2-Cre/wt,connectivity,retrograde transsynaptic tracing,CP,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,CP
AIBS_658335121,mouse,NCBI:txid10090,369844,Tac1-IRES2-Cre/wt,connectivity,retrograde transsynaptic tracing,CP,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,CP
AIBS_659121957,mouse,NCBI:txid10090,369275,Rbp4-Cre_KL100/wt,connectivity,retrograde transsynaptic tracing,SSs,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,SSs
AIBS_659136503,mouse,NCBI:txid10090,371575,Slc17a6-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,GRN,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,GRN
AIBS_660581644,mouse,NCBI:txid10090,370078,Ntsr1-Cre_GN220/wt,connectivity,retrograde transsynaptic tracing,AUDp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,AUDp
AIBS_660776295,mouse,NCBI:txid10090,370530,Sim1-Cre_KJ18/wt,connectivity,retrograde transsynaptic tracing,AUDp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,AUDp
AIBS_660779120,mouse,NCBI:txid10090,370461,Slc32a1-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,APN,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,APN
AIBS_662650782,mouse,NCBI:txid10090,373674,Grik4-Cre/wt,connectivity,retrograde transsynaptic tracing,VAL,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,VAL
AIBS_662668960,mouse,NCBI:txid10090,372475,Sst-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,AUDp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,AUDp
AIBS_664750677,mouse,NCBI:txid10090,374577,Sst-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,PL,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,PL
AIBS_664878534,mouse,NCBI:txid10090,375935,Syt6-Cre_KI148/wt,connectivity,retrograde transsynaptic tracing,RSPv,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,RSPv
AIBS_664878588,mouse,NCBI:txid10090,375936,Syt6-Cre_KI148/wt,connectivity,retrograde transsynaptic tracing,ACAd,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,ACAd
AIBS_664883450,mouse,NCBI:txid10090,374498,Vip-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,MOp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOp
AIBS_664883517,mouse,NCBI:txid10090,374499,Vip-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,MOp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,MOp
AIBS_666691178,mouse,NCBI:txid10090,376556,Th-Cre_FI172/wt,connectivity,retrograde transsynaptic tracing,VTA,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,VTA
AIBS_666691196,mouse,NCBI:txid10090,376428,Scnn1a-Tg3-Cre/wt,connectivity,retrograde transsynaptic tracing,AUDp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,AUDp
AIBS_666801377,mouse,NCBI:txid10090,375795,Slc6a5-Cre_KF109/wt,connectivity,retrograde transsynaptic tracing,PARN,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,PARN
AIBS_666801736,mouse,NCBI:txid10090,375796,Slc6a5-Cre_KF109/wt,connectivity,retrograde transsynaptic tracing,PARN,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,PARN
AIBS_666830139,mouse,NCBI:txid10090,376826,Vip-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,PL,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,PL
AIBS_666830163,mouse,NCBI:txid10090,376827,Vip-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,AUDp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,AUDp
AIBS_667473684,mouse,NCBI:txid10090,376825,Vip-IRES-Cre/wt,connectivity,retrograde transsynaptic tracing,AId,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,AId
AIBS_668795118,mouse,NCBI:txid10090,377601,Nr5a1-Cre/wt,connectivity,retrograde transsynaptic tracing,AUDp,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_retro,BIL,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,,2019Q1,,,AUDp
