Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
644235105,mouse,NCBI:txid10090,Gad2-IRES-Cre;Ai14-351985,,transcriptomics,SMART-seq v4,MOp2/3,Nuclei,198,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sn_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,Mouse MOp - L2/3,2019Q1,Corrected structures/projects,,MOp2/3
644235736,mouse,NCBI:txid10090,Gad2-IRES-Cre;Ai14-351985,,transcriptomics,SMART-seq v4,MOp6a,Nuclei,187,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sn_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,Mouse MOp - L6a,2019Q1,Corrected structures/projects,,MOp6a
644236039,mouse,NCBI:txid10090,Gad2-IRES-Cre;Ai14-351985,,transcriptomics,SMART-seq v4,MOp6b,Nuclei,80,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sn_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,Mouse MOp - L6b,2019Q1,Corrected structures/projects,,MOp6b
644236144,mouse,NCBI:txid10090,Gad2-IRES-Cre;Ai14-351985,,transcriptomics,SMART-seq v4,MOp1,Nuclei,42,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sn_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,Mouse MOp - L1,2019Q1,Corrected structures/projects,,MOp1
644236309,mouse,NCBI:txid10090,Gad2-IRES-Cre;Ai14-351985,,transcriptomics,SMART-seq v4,MOp5,Nuclei,5,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sn_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,Mouse MOp - L5,2019Q1,Corrected structures/projects,,MOp5
644475241,mouse,NCBI:txid10090,Gad2-IRES-Cre;Ai14-351986,,transcriptomics,SMART-seq v4,MOp2/3,Nuclei,237,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sn_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,Mouse MOp - L2/3,2019Q1,Corrected structures/projects,,MOp2/3
644475417,mouse,NCBI:txid10090,Gad2-IRES-Cre;Ai14-351986,,transcriptomics,SMART-seq v4,MOp6b,Nuclei,80,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sn_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,Mouse MOp - L6b,2019Q1,Corrected structures/projects,,MOp6b
644475983,mouse,NCBI:txid10090,Gad2-IRES-Cre;Ai14-351986,,transcriptomics,SMART-seq v4,MOp5,Nuclei,307,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sn_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,Mouse MOp - L5,2019Q1,Corrected structures/projects,,MOp5
644476847,mouse,NCBI:txid10090,Gad2-IRES-Cre;Ai14-351986,,transcriptomics,SMART-seq v4,MOp6a,Nuclei,256,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sn_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,Mouse MOp - L6a,2019Q1,Corrected structures/projects,,MOp6a
644965267,mouse,NCBI:txid10090,Chrnb3-Cre_SM93;Ai14-353518,,transcriptomics,SMART-seq v4,MOp1,Nuclei,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sn_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,Mouse MOp - L1,2019Q1,Corrected structures/projects,,MOp1
644966468,mouse,NCBI:txid10090,Chrnb3-Cre_SM93;Ai14-353518,,transcriptomics,SMART-seq v4,MOp2/3,Nuclei,231,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sn_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,Mouse MOp - L2/3,2019Q1,Corrected structures/projects,,MOp2/3
