Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
20171204_sample_2,mouse,NCBI:txid10090,mouse_GTOKH,Pvalb-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
20171204_sample_4,mouse,NCBI:txid10090,mouse_GTOKH,Pvalb-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
20171204_sample_5,mouse,NCBI:txid10090,mouse_GTOKH,Pvalb-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
20171204_sample_6,mouse,NCBI:txid10090,mouse_GTOKH,Pvalb-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
20171207_sample_1,mouse,NCBI:txid10090,mouse_UGZSW,Sst-IRES-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
20171207_sample_2,mouse,NCBI:txid10090,mouse_UGZSW,Sst-IRES-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
20171207_sample_6,mouse,NCBI:txid10090,mouse_UGZSW,Sst-IRES-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
20171207_sample_7,mouse,NCBI:txid10090,mouse_UGZSW,Sst-IRES-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
20171219_sample_1,mouse,NCBI:txid10090,mouse_KKXUD,Pvalb-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
20171219_sample_2,mouse,NCBI:txid10090,mouse_KKXUD,Pvalb-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
20171219_sample_3,mouse,NCBI:txid10090,mouse_KKXUD,Pvalb-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
20171219_sample_4,mouse,NCBI:txid10090,mouse_KKXUD,Pvalb-Cre/wt; Ai9/wt,transcriptomics,SMART-seq v4,MOp,cells,1,Baylor College of Medicine,Andreas Tolias,1U19MH114830-01,zeng_tolias_pseq_t,NEMO,,,2020Q1,,,
