Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
1453_BA24,human,NCBI:txid9606,1453,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,1395,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
1453_INS,human,NCBI:txid9606,1453,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,377,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,,ICx
1547_BA24,human,NCBI:txid9606,1547,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,2387,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
1791_BA24,human,NCBI:txid9606,1791,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,1632,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
1798_BA24,human,NCBI:txid9606,1798,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,185,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
1798_BA9,human,NCBI:txid9606,1798,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,6687,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
1798_INS,human,NCBI:txid9606,1798,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,1238,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,,ICx
1823_BA24,human,NCBI:txid9606,1823,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,1102,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
4283_BA13,human,NCBI:txid9606,4283,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,989,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2019Q1,,,ICx
4283_BA22,human,NCBI:txid9606,4283,,transcriptomics,10x Chromium 3' v2 sequencing,TCx,nuclei,323,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Temporal cortex,2019Q1,,,TCx
4283_BA9,human,NCBI:txid9606,4283,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,4672,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,,PFC
4293_BA24,human,NCBI:txid9606,4293,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,2339,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2019Q1,,,CgGr
4341_BA24,human,NCBI:txid9606,4341,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,4196,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
4341_BA46,human,NCBI:txid9606,4341,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,4513,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
4350_BA24,human,NCBI:txid9606,4350,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,2968,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
4350_BA9,human,NCBI:txid9606,4350,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,4564,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
4369_BA24,human,NCBI:txid9606,4369,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,2216,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
4369_BA9,human,NCBI:txid9606,4369,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,3808,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
4369_INS,human,NCBI:txid9606,4369,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,2181,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,,ICx
4389_BA24,human,NCBI:txid9606,4389,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,4021,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
4389_BA9,human,NCBI:txid9606,4389,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,3705,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
4396_BA24,human,NCBI:txid9606,4396,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,5717,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
4396_BA9,human,NCBI:txid9606,4396,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,4189,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
4396_INS,human,NCBI:txid9606,4396,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,3154,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,,ICx
4426_BA24,human,NCBI:txid9606,4426,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,2376,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
4426_BA9,human,NCBI:txid9606,4426,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,5073,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
4670_BA24,human,NCBI:txid9606,4670,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,1957,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
4942_BA13,human,NCBI:txid9606,4942,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,4348,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2019Q1,,,ICx
4942_BA22,human,NCBI:txid9606,4942,,transcriptomics,10x Chromium 3' v2 sequencing,TCx,nuclei,12555,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Temporal cortex,2019Q1,,,TCx
4942_BA9,human,NCBI:txid9606,4942,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,2616,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,,PFC
5163_BA24,human,NCBI:txid9606,5163,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,2016,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
5242_BA24,human,NCBI:txid9606,5242,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,3839,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
5242_FIC,human,NCBI:txid9606,5242,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,6624,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,,ICx
5387_BA9,human,NCBI:txid9606,5387,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,8992,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
5391_BA24,human,NCBI:txid9606,5391,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,3244,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
5408_FIC,human,NCBI:txid9606,5408,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,6434,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,,ICx
5408_PFC,human,NCBI:txid9606,5408,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,2520,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
5538_PFC,human,NCBI:txid9606,5538,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,3267,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
5546_BA9,human,NCBI:txid9606,5546,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,2873,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,,PFC
5554_BA24,human,NCBI:txid9606,5554,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,5604,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
5577_BA9,human,NCBI:txid9606,5577,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,4895,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
5608_BA24,human,NCBI:txid9606,5608,,transcriptomics,10x Chromium 3' v2 sequencing,CgGr,nuclei,2501,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,,CgGr
5608_BA9,human,NCBI:txid9606,5608,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,1225,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,,PFC
5608_INS,human,NCBI:txid9606,5608,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,1157,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,,ICx
5609_BA9,human,NCBI:txid9606,5609,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,1048,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,,PFC
