Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
790268860,mouse,NCBI:txid10090,783900471,Snap25-IRES2-Cre;Ai14-426003,transcriptomics,10x Chromium 3' v3 sequencing,MOp,Cells,30156,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv3,NEMO,,,2019Q2,Need to correct structures,,MOp
790276311,mouse,NCBI:txid10090,783900471,Snap25-IRES2-Cre;Ai14-426003,transcriptomics,10x Chromium 3' v3 sequencing,MOp,Cells,30225,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv3,NEMO,,,2019Q2,Need to correct structures,,MOp
792449304,mouse,NCBI:txid10090,788391164,Snap25-IRES2-Cre;Ai14-427378,transcriptomics,10x Chromium 3' v3 sequencing,MOp,Cells,54779,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv3,NEMO,,,2019Q2,Need to correct structures,,MOp
839561828,mouse,NCBI:txid10090,450087,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3' v3 sequencing,CNU-PAL,cells,10,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,,2020Q2,,,
859050648,mouse,NCBI:txid10090,859043660,Snap25-IRES2-Cre;Ai14-457911,transcriptomics,10x Chromium 3' v3 sequencing,MOp,Cells,35020,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv3,NEMO,,,2019Q2,Need to correct structures,,MOp
861610358,mouse,NCBI:txid10090,859043670,Snap25-IRES2-Cre;Ai14-457909,transcriptomics,10x Chromium 3' v3 sequencing,MOp,Cells,26404,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv3,NEMO,,,2019Q2,Need to correct structures,,MOp
864212701,mouse,NCBI:txid10090,459495,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3' v3 sequencing,CNU-PAL,cells,8,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,,2020Q2,,,
876757604,mouse,NCBI:txid10090,463942,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3' v3 sequencing,CNU-PAL,cells,10,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,,2020Q2,,,
880121053,mouse,NCBI:txid10090,462433,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3' v3 sequencing,CNU-PAL,cells,9,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,,2020Q2,,,
882424054,mouse,NCBI:txid10090,464327,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3' v3 sequencing,CNU-PAL,cells,10,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,,2020Q2,,,
883592013,mouse,NCBI:txid10090,464324,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3' v3 sequencing,CNU-PAL,cells,10,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,,2020Q2,,,
