Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
496262502,mouse,NCBI:txid10090,Slc32a1-Cre;Ai14(BT)-225675,,transcriptomics,SMART-seq v4,VISp2/3,cells,32,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,Mouse VISp - L2/3,2019Q1,Corrected structures/projects,,VISp2/3
496262509,mouse,NCBI:txid10090,Slc32a1-Cre;Ai14(BT)-225675,,transcriptomics,SMART-seq v4,VISp1,cells,18,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,Mouse VISp - L1,2019Q1,Corrected structures/projects,,VISp1
496262590,mouse,NCBI:txid10090,Slc32a1-Cre;Ai14(BT)-225675,,transcriptomics,SMART-seq v4,VISp4,cells,30,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,Mouse VISp - L4,2019Q1,Corrected structures/projects,,VISp4
496262596,mouse,NCBI:txid10090,Slc32a1-Cre;Ai14(BT)-225675,,transcriptomics,SMART-seq v4,VISp5,cells,32,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,Mouse VISp - L5,2019Q1,Corrected structures/projects,,VISp5
496292366,mouse,NCBI:txid10090,Slc32a1-IRES-Cre;Ai14-223184,,transcriptomics,SMART-seq v4,VISp2/3,cells,32,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,Mouse VISp - L2/3,2019Q1,Corrected structures/projects,,VISp2/3
496292370,mouse,NCBI:txid10090,Slc32a1-IRES-Cre;Ai14-223184,,transcriptomics,SMART-seq v4,VISp4,cells,26,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,Mouse VISp - L4,2019Q1,Corrected structures/projects,,VISp4
496292384,mouse,NCBI:txid10090,Slc32a1-IRES-Cre;Ai14-223184,,transcriptomics,SMART-seq v4,VISp5,cells,30,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,Mouse VISp - L5,2019Q1,Corrected structures/projects,,VISp5
496292390,mouse,NCBI:txid10090,Slc32a1-IRES-Cre;Ai14-223184,,transcriptomics,SMART-seq v4,VISp6a,cells,20,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,Mouse VISp - L6,2019Q1,Corrected structures/projects,,VISp6a
496292417,mouse,NCBI:txid10090,Slc32a1-IRES-Cre;Ai14-223184,,transcriptomics,SMART-seq v4,VISp1,cells,36,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,Mouse VISp - L1,2019Q1,Corrected structures/projects,,VISp1
496298527,mouse,NCBI:txid10090,Snap25-IRES2-Cre;Ai14-222454,,transcriptomics,SMART-seq v4,VISp2/3,cells,32,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,Mouse VISp - L2/3,2019Q1,Corrected structures/projects,,VISp2/3
